trip_id,arrival_time,departure_time,stop_id,stop_sequence
5701_trip,04:36:00,04:36:00,AK,1
5016_trip,04:58:00,04:58:00,AK,2
5018_trip,05:05:00,05:05:00,AK,3
5022_trip,05:25:00,05:25:00,AK,4
5024_trip,05:35:00,05:35:00,AK,5
5505_trip,05:45:00,05:45:00,AK,6
6002_trip,05:59:00,05:59:00,AK,7
5507_trip,06:05:00,06:05:00,AK,8
5028_trip,06:11:00,06:11:00,AK,9
5031_trip,06:16:00,06:16:00,AK,10
6004_trip,06:24:00,06:24:00,AK,11
5030_trip,06:29:00,06:29:00,AK,12
5034_trip,06:35:00,06:35:00,AK,13
5509_trip,06:35:00,06:35:00,AK,14
5037_trip,06:40:00,06:40:00,AK,15
5706_trip,06:41:00,06:41:00,AK,16
5036_trip,06:51:00,06:51:00,AK,17
6006_trip,06:56:00,06:56:00,AK,18
5511_trip,06:59:00,06:59:00,AK,19
5038_trip,07:04:00,07:04:00,AK,20
5708_trip,07:10:00,07:10:00,AK,21
5044_trip,07:20:00,07:20:00,AK,22
5513_trip,07:20:00,07:20:00,AK,23
6008_trip,07:25:00,07:25:00,AK,24
5046_trip,07:35:00,07:35:00,AK,25
5515_trip,07:40:00,07:40:00,AK,26
5710_trip,07:41:00,07:41:00,AK,27
5048_trip,07:50:00,07:50:00,AK,28
5712_trip,07:54:00,07:54:00,AK,29
5050_trip,07:59:00,07:59:00,AK,30
5052_trip,08:04:00,08:04:00,AK,31
5517_trip,08:04:00,08:04:00,AK,32
5714_trip,08:11:00,08:11:00,AK,33
5715_trip,08:11:00,08:11:00,AK,34
5054_trip,08:21:00,08:21:00,AK,35
5056_trip,08:27:00,08:27:00,AK,36
5519_trip,08:38:00,08:38:00,AK,37
5716_trip,08:41:00,08:41:00,AK,38
6014_trip,08:51:00,08:51:00,AK,39
5718_trip,08:57:00,08:57:00,AK,40
5521_trip,08:59:00,08:59:00,AK,41
5060_trip,09:06:00,09:06:00,AK,42
5063_trip,09:07:00,09:07:00,AK,43
