route_id,service_id,trip_id
COMMUTER LINE CIKARANG,1,5701_trip
COMMUTER LINE CIKARANG,1,5016_trip
COMMUTER LINE CIKARANG,1,5018_trip
COMMUTER LINE CIKARANG,1,5022_trip
COMMUTER LINE CIKARANG,1,5024_trip
COMMUTER LINE CIKARANG,1,5505_trip
COMMUTER LINE CIKARANG,1,6002_trip
COMMUTER LINE CIKARANG,1,5507_trip
COMMUTER LINE CIKARANG,1,5028_trip
COMMUTER LINE CIKARANG,1,5031_trip
COMMUTER LINE CIKARANG,1,6004_trip
COMMUTER LINE CIKARANG,1,5030_trip
COMMUTER LINE CIKARANG,1,5034_trip
COMMUTER LINE CIKARANG,1,5509_trip
COMMUTER LINE CIKARANG,1,5037_trip
COMMUTER LINE CIKARANG,1,5706_trip
COMMUTER LINE CIKARANG,1,5036_trip
COMMUTER LINE CIKARANG,1,6006_trip
COMMUTER LINE CIKARANG,1,5511_trip
COMMUTER LINE CIKARANG,1,5038_trip
COMMUTER LINE CIKARANG,1,5708_trip
COMMUTER LINE CIKARANG,1,5044_trip
COMMUTER LINE CIKARANG,1,5513_trip
COMMUTER LINE CIKARANG,1,6008_trip
COMMUTER LINE CIKARANG,1,5046_trip
COMMUTER LINE CIKARANG,1,5515_trip
COMMUTER LINE CIKARANG,1,5710_trip
COMMUTER LINE CIKARANG,1,5048_trip
COMMUTER LINE CIKARANG,1,5712_trip
COMMUTER LINE CIKARANG,1,5050_trip
COMMUTER LINE CIKARANG,1,5052_trip
COMMUTER LINE CIKARANG,1,5517_trip
COMMUTER LINE CIKARANG,1,5714_trip
COMMUTER LINE CIKARANG,1,5715_trip
COMMUTER LINE CIKARANG,1,5054_trip
COMMUTER LINE CIKARANG,1,5056_trip
COMMUTER LINE CIKARANG,1,5519_trip
COMMUTER LINE CIKARANG,1,5716_trip
COMMUTER LINE CIKARANG,1,6014_trip
COMMUTER LINE CIKARANG,1,5718_trip
COMMUTER LINE CIKARANG,1,5521_trip
COMMUTER LINE CIKARANG,1,5060_trip
COMMUTER LINE CIKARANG,1,5063_trip
COMMUTER LINE CIKARANG,1,6016_trip
COMMUTER LINE CIKARANG,1,5523_trip
COMMUTER LINE CIKARANG,1,5062_trip
COMMUTER LINE CIKARANG,1,5064_trip
COMMUTER LINE CIKARANG,1,5525_trip
COMMUTER LINE CIKARANG,1,5720_trip
COMMUTER LINE CIKARANG,1,5066_trip
COMMUTER LINE CIKARANG,1,5069_trip
COMMUTER LINE CIKARANG,1,6018_trip
COMMUTER LINE CIKARANG,1,5068_trip
COMMUTER LINE CIKARANG,1,5527_trip
COMMUTER LINE CIKARANG,1,5070_trip
COMMUTER LINE CIKARANG,1,5073_trip
COMMUTER LINE CIKARANG,1,5072_trip
COMMUTER LINE CIKARANG,1,6020_trip
COMMUTER LINE CIKARANG,1,5722_trip
COMMUTER LINE CIKARANG,1,5529_trip
COMMUTER LINE CIKARANG,1,5074_trip
COMMUTER LINE CIKARANG,1,5725_trip
COMMUTER LINE CIKARANG,1,6022_trip
COMMUTER LINE CIKARANG,1,5078_trip
COMMUTER LINE CIKARANG,1,5531_trip
COMMUTER LINE CIKARANG,1,5080_trip
COMMUTER LINE CIKARANG,1,5082_trip
COMMUTER LINE CIKARANG,1,5533_trip
COMMUTER LINE CIKARANG,1,5084_trip
COMMUTER LINE CIKARANG,1,6024_trip
COMMUTER LINE CIKARANG,1,5086_trip
COMMUTER LINE CIKARANG,1,5535_trip
COMMUTER LINE CIKARANG,1,5089_trip
COMMUTER LINE CIKARANG,1,6026_trip
COMMUTER LINE CIKARANG,1,5088_trip
COMMUTER LINE CIKARANG,1,5090_trip
COMMUTER LINE CIKARANG,1,5537_trip
COMMUTER LINE CIKARANG,1,6028_trip
COMMUTER LINE CIKARANG,1,5092_trip
COMMUTER LINE CIKARANG,1,5094_trip
COMMUTER LINE CIKARANG,1,5539_trip
COMMUTER LINE CIKARANG,1,5728_trip
COMMUTER LINE CIKARANG,1,6030_trip
COMMUTER LINE CIKARANG,1,5098_trip
COMMUTER LINE CIKARANG,1,5100_trip
COMMUTER LINE CIKARANG,1,5541_trip
COMMUTER LINE CIKARANG,1,5102_trip
COMMUTER LINE CIKARANG,1,6032_trip
COMMUTER LINE CIKARANG,1,6034_trip
COMMUTER LINE CIKARANG,1,5104_trip
COMMUTER LINE CIKARANG,1,5543_trip
